,Country code,Year,Financing scheme,Function,Provider,Share of current expenditure on health (in %),Share of gross domestic product (in %)
1608,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,0.55,0.061
1609,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,3.382,0.375
1610,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,4.874,0.541
1611,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,4.979,0.552
1612,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.017,0.002
1613,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,13.807,1.532
1614,DEU,2010,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.006,0.001
1615,DEU,2010,Household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.212,0.024
1616,DEU,2010,Household out-of-pocket payments,Preventive care,All providers,0.015,0.002
1617,DEU,2010,Household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,0.503,0.056
1618,DEU,2010,Household out-of-pocket payments,Long-term care (health),All providers,4.102,0.455
1619,DEU,2010,Household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,3.982,0.442
1620,DEU,2010,Household out-of-pocket payments,Medical goods (non-specified by function),All providers,4.979,0.552
1621,DEU,2015,All financing schemes,Current expenditure on health (all functions),Hospitals,28.814,3.222
1622,DEU,2015,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,8.916,0.997
1623,DEU,2015,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,31.399,3.512
1624,DEU,2015,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,0.757,0.085
1625,DEU,2015,All financing schemes,Current expenditure on health (all functions),Rest of the world,0.465,0.052
1626,DEU,2015,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,5.411,0.605
1627,DEU,2015,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,19.731,2.207
1628,DEU,2015,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,1.301,0.146
1629,DEU,2015,All financing schemes,Current expenditure on health (all functions),All providers,100.0,11.184
1630,DEU,2015,All financing schemes,Current expenditure on health (all functions),Rest of the economy,3.206,0.359
1631,DEU,2015,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,21.002,2.349
1632,DEU,2015,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,0.722,0.081
1633,DEU,2015,All financing schemes,Outpatient curative and rehabilitative care,Rest of the world,0.102,0.011
1634,DEU,2015,All financing schemes,Outpatient curative and rehabilitative care,Providers of health care system administration and financing,0.155,0.017
1635,DEU,2015,All financing schemes,Outpatient curative and rehabilitative care,All providers,21.981,2.458
1636,DEU,2015,All financing schemes,Long-term care (health),Residential long-term care facilities,8.916,0.997
1637,DEU,2015,All financing schemes,Long-term care (health),Providers of ambulatory health care,4.986,0.558
1638,DEU,2015,All financing schemes,Long-term care (health),Providers of health care system administration and financing,0.122,0.014
1639,DEU,2015,All financing schemes,Long-term care (health),Rest of the world,0.001,0.0
1640,DEU,2015,All financing schemes,Long-term care (health),All providers,16.415,1.836
1641,DEU,2015,All financing schemes,Long-term care (health),Rest of the economy,2.39,0.267
1642,DEU,2015,All financing schemes,Ancillary services (non-specified by function),Providers of ambulatory health care,2.656,0.297
1643,DEU,2015,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.494,0.055
1644,DEU,2015,All financing schemes,Ancillary services (non-specified by function),Rest of the world,0.047,0.005
1645,DEU,2015,All financing schemes,Ancillary services (non-specified by function),All providers,4.928,0.551
1646,DEU,2015,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,1.282,0.143
1647,DEU,2015,All financing schemes,Ancillary services (non-specified by function),Rest of the economy,0.449,0.05
1648,DEU,2015,All financing schemes,Preventive care,Providers of ambulatory health care,1.598,0.179
1649,DEU,2015,All financing schemes,Preventive care,Providers of preventive care,0.757,0.085
1650,DEU,2015,All financing schemes,Preventive care,Hospitals,0.159,0.018
1651,DEU,2015,All financing schemes,Preventive care,Rest of the world,0.003,0.0
1652,DEU,2015,All financing schemes,Preventive care,Providers of health care system administration and financing,0.334,0.037
1653,DEU,2015,All financing schemes,Preventive care,All providers,3.237,0.362
1654,DEU,2015,All financing schemes,Preventive care,Providers of ancillary services,0.019,0.002
1655,DEU,2015,All financing schemes,Preventive care,Rest of the economy,0.366,0.041
1656,DEU,2015,All financing schemes,Inpatient curative and rehabilitative care,Providers of ambulatory health care,0.001,0.0
1657,DEU,2015,All financing schemes,Inpatient curative and rehabilitative care,Rest of the world,0.117,0.013
1658,DEU,2015,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,26.989,3.018
1659,DEU,2015,All financing schemes,Inpatient curative and rehabilitative care,All providers,27.108,3.032
1660,DEU,2015,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,4.799,0.537
1661,DEU,2015,All financing schemes,Governance and health system and financing administration,Rest of the world,0.008,0.001
1662,DEU,2015,All financing schemes,Governance and health system and financing administration,All providers,4.807,0.538
1663,DEU,2015,All financing schemes,Medical goods (non-specified by function),Rest of the world,0.186,0.021
1664,DEU,2015,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,19.731,2.207
1665,DEU,2015,All financing schemes,Medical goods (non-specified by function),All providers,19.917,2.227
1666,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,27.708,3.099
1667,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Residential long-term care facilities,5.144,0.575
1668,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,26.151,2.925
1669,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,0.757,0.085
1670,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the world,0.425,0.048
1671,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,5.089,0.569
1672,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,14.723,1.647
1673,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,1.242,0.139
1674,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,2.94,0.329
1675,DEU,2015,Government/compulsory schemes,Current expenditure on health (all functions),All providers,84.177,9.414
1676,DEU,2015,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,4.661,0.521
1677,DEU,2015,Government/compulsory schemes,Preventive care,All providers,2.955,0.33
1678,DEU,2015,Government/compulsory schemes,Medical goods (non-specified by function),All providers,14.901,1.667
1679,DEU,2015,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,26.122,2.922
1680,DEU,2015,Government/compulsory schemes,Long-term care (health),All providers,11.24,1.257
1681,DEU,2015,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,18.229,2.039
1682,DEU,2015,Government/compulsory schemes,Governance and health system and financing administration,All providers,4.483,0.501
1683,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,1.105,0.124
1684,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,3.773,0.422
1685,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,5.248,0.587
1686,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.322,0.036
1687,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the world,0.04,0.004
1688,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,5.009,0.56
1689,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.06,0.007
1690,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.266,0.03
1691,DEU,2015,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,15.823,1.77
1692,DEU,2015,Voluntary schemes/household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.268,0.03
1693,DEU,2015,Voluntary schemes/household out-of-pocket payments,Preventive care,All providers,0.283,0.032
1694,DEU,2015,Voluntary schemes/household out-of-pocket payments,Medical goods (non-specified by function),All providers,5.016,0.561
1695,DEU,2015,Voluntary schemes/household out-of-pocket payments,Long-term care (health),All providers,5.175,0.579
1696,DEU,2015,Voluntary schemes/household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,0.985,0.11
1697,DEU,2015,Voluntary schemes/household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,3.751,0.42
1698,DEU,2015,Voluntary schemes/household out-of-pocket payments,Governance and health system and financing administration,All providers,0.324,0.036
1699,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,0.674,0.075
1700,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.252,0.028
1701,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,1.155,0.129
1702,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.322,0.036
1703,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the world,0.04,0.004
1704,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.115,0.013
1705,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ancillary services,0.045,0.005
1706,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.26,0.029
1707,DEU,2015,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,2.863,0.32
1708,DEU,2015,Voluntary health care payment schemes,Preventive care,All providers,0.271,0.03
1709,DEU,2015,Voluntary health care payment schemes,Ancillary services (non-specified by function),All providers,0.194,0.022
1710,DEU,2015,Voluntary health care payment schemes,Long-term care (health),All providers,0.828,0.093
1711,DEU,2015,Voluntary health care payment schemes,Inpatient curative and rehabilitative care,All providers,0.563,0.063
1712,DEU,2015,Voluntary health care payment schemes,Medical goods (non-specified by function),All providers,0.122,0.014
1713,DEU,2015,Voluntary health care payment schemes,Outpatient curative and rehabilitative care,All providers,0.558,0.062
1714,DEU,2015,Voluntary health care payment schemes,Governance and health system and financing administration,All providers,0.324,0.036
1715,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,0.431,0.048
1716,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,3.521,0.394
1717,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,4.093,0.458
1718,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,4.894,0.547
1719,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.015,0.002
1720,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,12.96,1.449
1721,DEU,2015,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.006,0.001
1722,DEU,2015,Household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.074,0.008
1723,DEU,2015,Household out-of-pocket payments,Preventive care,All providers,0.012,0.001
1724,DEU,2015,Household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,0.422,0.047
1725,DEU,2015,Household out-of-pocket payments,Long-term care (health),All providers,4.347,0.486
1726,DEU,2015,Household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,3.193,0.357
1727,DEU,2015,Household out-of-pocket payments,Medical goods (non-specified by function),All providers,4.894,0.547
1728,DEU,2019,All financing schemes,Current expenditure on health (all functions),Hospitals,28.067,3.283
1729,DEU,2019,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,9.355,1.094
1730,DEU,2019,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,31.838,3.724
1731,DEU,2019,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,0.712,0.083
1732,DEU,2019,All financing schemes,Current expenditure on health (all functions),Rest of the world,0.458,0.054
1733,DEU,2019,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,4.98,0.583
1734,DEU,2019,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,18.491,2.163
1735,DEU,2019,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,1.469,0.172
1736,DEU,2019,All financing schemes,Current expenditure on health (all functions),All providers,100.0,11.696
1737,DEU,2019,All financing schemes,Current expenditure on health (all functions),Rest of the economy,4.631,0.542
1738,DEU,2019,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,20.651,2.415
1739,DEU,2019,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,0.698,0.082
1740,DEU,2019,All financing schemes,Outpatient curative and rehabilitative care,Rest of the world,0.099,0.012
1741,DEU,2019,All financing schemes,Outpatient curative and rehabilitative care,Providers of health care system administration and financing,0.139,0.016
1742,DEU,2019,All financing schemes,Outpatient curative and rehabilitative care,All providers,21.587,2.525
1743,DEU,2019,All financing schemes,Long-term care (health),Residential long-term care facilities,9.355,1.094
1744,DEU,2019,All financing schemes,Long-term care (health),Providers of ambulatory health care,5.948,0.696
1745,DEU,2019,All financing schemes,Long-term care (health),Providers of health care system administration and financing,0.132,0.015
1746,DEU,2019,All financing schemes,Long-term care (health),Rest of the world,0.003,0.0
1747,DEU,2019,All financing schemes,Long-term care (health),All providers,19.213,2.247
1748,DEU,2019,All financing schemes,Long-term care (health),Rest of the economy,3.775,0.442
1749,DEU,2019,All financing schemes,Ancillary services (non-specified by function),Providers of ambulatory health care,2.504,0.293
1750,DEU,2019,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.492,0.058
1751,DEU,2019,All financing schemes,Ancillary services (non-specified by function),Rest of the world,0.046,0.005
1752,DEU,2019,All financing schemes,Ancillary services (non-specified by function),All providers,4.917,0.575
1753,DEU,2019,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,1.441,0.169
1754,DEU,2019,All financing schemes,Ancillary services (non-specified by function),Rest of the economy,0.434,0.051
1755,DEU,2019,All financing schemes,Preventive care,Providers of ambulatory health care,1.69,0.198
1756,DEU,2019,All financing schemes,Preventive care,Providers of preventive care,0.712,0.083
1757,DEU,2019,All financing schemes,Preventive care,Hospitals,0.148,0.017
1758,DEU,2019,All financing schemes,Preventive care,Rest of the world,0.004,0.0
1759,DEU,2019,All financing schemes,Preventive care,Providers of health care system administration and financing,0.319,0.037
1760,DEU,2019,All financing schemes,Preventive care,All providers,3.321,0.388
1761,DEU,2019,All financing schemes,Preventive care,Providers of ancillary services,0.028,0.003
1762,DEU,2019,All financing schemes,Preventive care,Rest of the economy,0.422,0.049
1763,DEU,2019,All financing schemes,Inpatient curative and rehabilitative care,Providers of ambulatory health care,0.001,0.0
1764,DEU,2019,All financing schemes,Inpatient curative and rehabilitative care,Rest of the world,0.121,0.014
1765,DEU,2019,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,25.66,3.001
1766,DEU,2019,All financing schemes,Inpatient curative and rehabilitative care,All providers,25.783,3.016
1767,DEU,2019,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,4.391,0.514
1768,DEU,2019,All financing schemes,Governance and health system and financing administration,Rest of the world,0.007,0.001
1769,DEU,2019,All financing schemes,Governance and health system and financing administration,All providers,4.398,0.514
1770,DEU,2019,All financing schemes,Medical goods (non-specified by function),Rest of the world,0.176,0.021
1771,DEU,2019,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,18.491,2.163
1772,DEU,2019,All financing schemes,Medical goods (non-specified by function),All providers,18.667,2.183
1773,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,27.116,3.171
1774,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Residential long-term care facilities,5.403,0.632
1775,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,26.083,3.051
1776,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,0.712,0.083
1777,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the world,0.419,0.049
1778,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,4.695,0.549
1779,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,13.809,1.615
1780,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,1.412,0.165
1781,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,4.368,0.511
1782,DEU,2019,Government/compulsory schemes,Current expenditure on health (all functions),All providers,84.015,9.827
1783,DEU,2019,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,4.663,0.545
1784,DEU,2019,Government/compulsory schemes,Preventive care,All providers,3.036,0.355
1785,DEU,2019,Government/compulsory schemes,Medical goods (non-specified by function),All providers,13.978,1.635
1786,DEU,2019,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,24.932,2.916
1787,DEU,2019,Government/compulsory schemes,Long-term care (health),All providers,13.497,1.579
1788,DEU,2019,Government/compulsory schemes,Outpatient curative and rehabilitative care,All providers,17.705,2.071
1789,DEU,2019,Government/compulsory schemes,Governance and health system and financing administration,All providers,4.11,0.481
1790,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,0.951,0.111
1791,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,3.953,0.462
1792,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,5.755,0.673
1793,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of health care system administration and financing,0.286,0.033
1794,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the world,0.039,0.005
1795,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,4.682,0.548
1796,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.057,0.007
1797,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.263,0.031
1798,DEU,2019,Voluntary schemes/household out-of-pocket payments,Current expenditure on health (all functions),All providers,15.985,1.87
1799,DEU,2019,Voluntary schemes/household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.255,0.03
1800,DEU,2019,Voluntary schemes/household out-of-pocket payments,Preventive care,All providers,0.285,0.033
1801,DEU,2019,Voluntary schemes/household out-of-pocket payments,Medical goods (non-specified by function),All providers,4.689,0.548
1802,DEU,2019,Voluntary schemes/household out-of-pocket payments,Long-term care (health),All providers,5.717,0.669
1803,DEU,2019,Voluntary schemes/household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,0.851,0.1
1804,DEU,2019,Voluntary schemes/household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,3.882,0.454
1805,DEU,2019,Voluntary schemes/household out-of-pocket payments,Governance and health system and financing administration,All providers,0.288,0.034
1806,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Hospitals,0.569,0.067
1807,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Residential long-term care facilities,0.203,0.024
1808,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ambulatory health care,1.118,0.131
1809,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,0.286,0.033
1810,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the world,0.039,0.005
1811,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,0.107,0.013
1812,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Providers of ancillary services,0.041,0.005
1813,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),Rest of the economy,0.258,0.03
1814,DEU,2019,Voluntary health care payment schemes,Current expenditure on health (all functions),All providers,2.62,0.306
1815,DEU,2019,Voluntary health care payment schemes,Preventive care,All providers,0.273,0.032
1816,DEU,2019,Voluntary health care payment schemes,Ancillary services (non-specified by function),All providers,0.17,0.02
1817,DEU,2019,Voluntary health care payment schemes,Long-term care (health),All providers,0.723,0.085
1818,DEU,2019,Voluntary health care payment schemes,Inpatient curative and rehabilitative care,All providers,0.476,0.056
1819,DEU,2019,Voluntary health care payment schemes,Medical goods (non-specified by function),All providers,0.113,0.013
1820,DEU,2019,Voluntary health care payment schemes,Outpatient curative and rehabilitative care,All providers,0.574,0.067
1821,DEU,2019,Voluntary health care payment schemes,Governance and health system and financing administration,All providers,0.288,0.034
1822,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Hospitals,0.383,0.045
1823,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Residential long-term care facilities,3.75,0.439
1824,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ambulatory health care,4.637,0.542
1825,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Retailers and other providers of medical goods,4.575,0.535
1826,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Providers of ancillary services,0.016,0.002
1827,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),All providers,13.365,1.563
1828,DEU,2019,Household out-of-pocket payments,Current expenditure on health (all functions),Rest of the economy,0.005,0.001
1829,DEU,2019,Household out-of-pocket payments,Ancillary services (non-specified by function),All providers,0.085,0.01
1830,DEU,2019,Household out-of-pocket payments,Preventive care,All providers,0.012,0.001
1831,DEU,2019,Household out-of-pocket payments,Inpatient curative and rehabilitative care,All providers,0.375,0.044
1832,DEU,2019,Household out-of-pocket payments,Long-term care (health),All providers,4.994,0.584
1833,DEU,2019,Household out-of-pocket payments,Outpatient curative and rehabilitative care,All providers,3.307,0.387
1834,DEU,2019,Household out-of-pocket payments,Medical goods (non-specified by function),All providers,4.575,0.535
1835,DEU,2020,All financing schemes,Current expenditure on health (all functions),Hospitals,28.813,3.695
1836,DEU,2020,All financing schemes,Current expenditure on health (all functions),Residential long-term care facilities,9.344,1.198
1837,DEU,2020,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,31.436,4.031
1838,DEU,2020,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,0.756,0.097
1839,DEU,2020,All financing schemes,Current expenditure on health (all functions),Rest of the world,0.427,0.055
1840,DEU,2020,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,4.967,0.637
1841,DEU,2020,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,18.047,2.314
1842,DEU,2020,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,1.542,0.198
1843,DEU,2020,All financing schemes,Current expenditure on health (all functions),All providers,100.0,12.822
1844,DEU,2020,All financing schemes,Current expenditure on health (all functions),Rest of the economy,4.669,0.599
1845,DEU,2020,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,19.973,2.561
1846,DEU,2020,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,0.665,0.085
1847,DEU,2020,All financing schemes,Outpatient curative and rehabilitative care,Rest of the world,0.086,0.011
1848,DEU,2020,All financing schemes,Outpatient curative and rehabilitative care,Providers of health care system administration and financing,0.135,0.017
1849,DEU,2020,All financing schemes,Outpatient curative and rehabilitative care,All providers,20.859,2.675
1850,DEU,2020,All financing schemes,Long-term care (health),Residential long-term care facilities,9.333,1.197
1851,DEU,2020,All financing schemes,Long-term care (health),Providers of ambulatory health care,6.234,0.799
1852,DEU,2020,All financing schemes,Long-term care (health),Providers of health care system administration and financing,0.133,0.017
1853,DEU,2020,All financing schemes,Long-term care (health),Rest of the world,0.002,0.0
1854,DEU,2020,All financing schemes,Long-term care (health),All providers,19.623,2.516
1855,DEU,2020,All financing schemes,Long-term care (health),Rest of the economy,3.921,0.503
1856,DEU,2020,All financing schemes,Ancillary services (non-specified by function),Providers of ambulatory health care,2.55,0.327
1857,DEU,2020,All financing schemes,Ancillary services (non-specified by function),Hospitals,0.466,0.06
1858,DEU,2020,All financing schemes,Ancillary services (non-specified by function),Rest of the world,0.045,0.006
1859,DEU,2020,All financing schemes,Ancillary services (non-specified by function),All providers,4.978,0.638
1860,DEU,2020,All financing schemes,Ancillary services (non-specified by function),Providers of ancillary services,1.514,0.194
1861,DEU,2020,All financing schemes,Ancillary services (non-specified by function),Rest of the economy,0.403,0.052
1862,DEU,2020,All financing schemes,Preventive care,Providers of ambulatory health care,1.681,0.216
1863,DEU,2020,All financing schemes,Preventive care,Providers of preventive care,0.756,0.097
1864,DEU,2020,All financing schemes,Preventive care,Residential long-term care facilities,0.011,0.001
1865,DEU,2020,All financing schemes,Preventive care,Hospitals,0.101,0.013
1866,DEU,2020,All financing schemes,Preventive care,Rest of the world,0.003,0.0
1867,DEU,2020,All financing schemes,Preventive care,Providers of health care system administration and financing,0.291,0.037
1868,DEU,2020,All financing schemes,Preventive care,All providers,3.214,0.412
1869,DEU,2020,All financing schemes,Preventive care,Providers of ancillary services,0.027,0.004
1870,DEU,2020,All financing schemes,Preventive care,Rest of the economy,0.345,0.044
1871,DEU,2020,All financing schemes,Inpatient curative and rehabilitative care,Providers of ambulatory health care,0.001,0.0
1872,DEU,2020,All financing schemes,Inpatient curative and rehabilitative care,Rest of the world,0.111,0.014
1873,DEU,2020,All financing schemes,Inpatient curative and rehabilitative care,Hospitals,26.55,3.404
1874,DEU,2020,All financing schemes,Inpatient curative and rehabilitative care,All providers,26.663,3.419
1875,DEU,2020,All financing schemes,Governance and health system and financing administration,Providers of health care system administration and financing,4.408,0.565
1876,DEU,2020,All financing schemes,Governance and health system and financing administration,Rest of the world,0.007,0.001
1877,DEU,2020,All financing schemes,Governance and health system and financing administration,All providers,4.415,0.566
1878,DEU,2020,All financing schemes,Medical goods (non-specified by function),Rest of the world,0.172,0.022
1879,DEU,2020,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,18.047,2.314
1880,DEU,2020,All financing schemes,Medical goods (non-specified by function),All providers,18.219,2.336
1881,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Hospitals,27.977,3.587
1882,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Residential long-term care facilities,5.735,0.735
1883,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ambulatory health care,25.88,3.318
1884,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of preventive care,0.756,0.097
1885,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the world,0.396,0.051
1886,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,4.683,0.601
1887,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,13.754,1.764
1888,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Providers of ancillary services,1.487,0.191
1889,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),Rest of the economy,4.423,0.567
1890,DEU,2020,Government/compulsory schemes,Current expenditure on health (all functions),All providers,85.091,10.911
1891,DEU,2020,Government/compulsory schemes,Ancillary services (non-specified by function),All providers,4.737,0.607
1892,DEU,2020,Government/compulsory schemes,Preventive care,All providers,2.946,0.378
1893,DEU,2020,Government/compulsory schemes,Medical goods (non-specified by function),All providers,13.92,1.785
1894,DEU,2020,Government/compulsory schemes,Inpatient curative and rehabilitative care,All providers,25.916,3.323
